ISOCode,CountryName,Continent
KNA,Saint Kitts and Nevis,North America
LCA,Saint Lucia,North America
SPM,Saint Pierre and Miquelon,Other
VCT,Saint Vincent and the Grenadines,North America
WSM,Samoa,Oceania
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
SEN,Senegal,Africa
SRB,Serbia,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Africa
ZAF,South Africa,Africa
KOR,South Korea,Asia
SSD,South Sudan,Africa
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SDN,Sudan,Africa
SUR,Suriname,South America
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TWN,Taiwan,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TGO,Togo,Africa
TON,Tonga,Oceania
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,Other
TUV,Tuvalu,Oceania
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
USA,United States,North America
VIR,United States Virgin Islands,Other
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VEN,Venezuela,South America
VNM,Vietnam,Asia
ESH,Western Sahara,Other
YEM,Yemen,Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
