ISOCode,Year,GDP
AFG,2013,"20,146,416,876.00"
AFG,2014,"20,497,128,600.00"
AFG,2015,"19,134,221,745.00"
AFG,2016,"18,116,572,399.00"
AFG,2017,"18,753,456,507.00"
AFG,2018,"18,053,222,735.00"
AFG,2019,"18,799,444,415.00"
AFG,2020,"19,955,929,061.00"
AFG,2021,"14,266,499,430.00"
AGO,1980,"5,934,073,604.00"
AGO,1981,"5,553,824,464.00"
AGO,1982,"5,553,824,464.00"
AGO,1983,"5,787,823,809.00"
AGO,1984,"6,135,166,254.00"
AGO,1985,"7,558,613,008.00"
AGO,1986,"7,076,793,823.00"
AGO,1987,"8,089,279,285.00"
AGO,1988,"8,775,116,269.00"
AGO,1989,"10,207,922,517.00"
AGO,1990,"11,236,275,843.00"
AGO,1991,"10,401,188,707.00"
AGO,1992,"8,307,826,847.00"
AGO,1993,"6,084,688,936.00"
AGO,1994,"4,438,321,017.00"
AGO,1995,"5,538,749,260.00"
AGO,1996,"6,535,434,716.00"
AGO,1997,"7,675,412,601.00"
AGO,1998,"6,506,381,417.00"
AGO,1999,"6,152,922,942.00"
AGO,2000,"9,129,594,816.00"
AGO,2001,"8,936,079,251.00"
AGO,2002,"15,285,592,486.00"
AGO,2003,"17,812,704,627.00"
AGO,2004,"23,552,057,820.00"
AGO,2005,"36,970,901,024.00"
AGO,2006,"52,381,025,102.00"
AGO,2007,"65,266,415,707.00"
AGO,2008,"88,538,664,884.00"
AGO,2009,"70,307,196,474.00"
AGO,2010,"83,799,473,760.00"
AGO,2011,"112,000,000,000.00"
AGO,2012,"128,000,000,000.00"
AGO,2013,"132,000,000,000.00"
AGO,2014,"136,000,000,000.00"
AGO,2015,"90,496,420,626.00"
AGO,2016,"52,761,617,226.00"
AGO,2017,"73,690,155,047.00"
AGO,2018,"79,450,688,232.00"
AGO,2019,"70,897,962,713.00"
AGO,2020,"48,501,561,230.00"
AGO,2021,"66,505,129,989.00"
AGO,2022,"107,000,000,000.00"
ALB,1984,"1,857,337,995.00"
ALB,1985,"1,897,050,117.00"
ALB,1986,"2,097,326,250.00"
ALB,1987,"2,080,796,250.00"
ALB,1988,"2,051,236,250.00"
ALB,1989,"2,253,090,000.00"
ALB,1990,"2,028,553,750.00"
ALB,1991,"1,099,559,028.00"
ALB,1992,"652,174,990.80"
ALB,1993,"1,185,315,468.00"
ALB,1994,"1,880,950,864.00"
ALB,1995,"2,392,764,853.00"
ALB,1996,"3,199,640,815.00"
ALB,1997,"2,258,513,974.00"
ALB,1998,"2,545,964,541.00"
ALB,1999,"3,212,121,651.00"
ALB,2000,"3,480,355,258.00"
ALB,2001,"3,922,100,794.00"
ALB,2002,"4,348,068,242.00"
ALB,2003,"5,611,496,257.00"
ALB,2004,"7,184,685,782.00"
ALB,2005,"8,052,077,248.00"
ALB,2006,"8,896,075,005.00"
ALB,2007,"10,677,324,853.00"
ALB,2008,"12,881,352,894.00"
ALB,2009,"12,044,205,550.00"
ALB,2010,"11,926,926,616.00"
ALB,2011,"12,890,760,315.00"
ALB,2012,"12,319,834,195.00"
ALB,2013,"12,776,224,497.00"
ALB,2014,"13,228,147,516.00"
ALB,2015,"11,386,853,113.00"
ALB,2016,"11,861,199,831.00"
ALB,2017,"13,019,726,212.00"
ALB,2018,"15,156,424,015.00"
ALB,2019,"15,401,826,127.00"
ALB,2020,"15,162,734,205.00"
ALB,2021,"17,930,565,119.00"
ALB,2022,"18,916,378,861.00"
ARE,1975,"14,720,728,249.00"
ARE,1976,"19,213,158,779.00"
ARE,1977,"24,871,775,165.00"
ARE,1978,"23,775,764,225.00"
ARE,1979,"31,225,659,621.00"
ARE,1980,"43,599,160,050.00"
ARE,1981,"49,333,424,135.00"
ARE,1982,"46,622,718,605.00"
ARE,1983,"42,803,323,345.00"
ARE,1984,"41,807,954,236.00"
ARE,1985,"40,603,650,232.00"
ARE,1986,"33,943,612,095.00"
ARE,1987,"36,384,908,744.00"
ARE,1988,"36,275,674,203.00"
ARE,1989,"41,464,995,914.00"
ARE,1990,"50,701,443,748.00"
ARE,1991,"51,552,165,622.00"
ARE,1992,"54,239,171,888.00"
ARE,1993,"55,625,170,253.00"
ARE,1994,"59,305,093,980.00"
ARE,1995,"65,743,666,576.00"
ARE,1996,"73,571,233,996.00"
ARE,1997,"78,839,008,445.00"
ARE,1998,"75,674,336,283.00"
ARE,1999,"84,445,473,111.00"
ARE,2000,"104,000,000,000.00"
ARE,2001,"103,000,000,000.00"
ARE,2002,"110,000,000,000.00"
ARE,2003,"124,000,000,000.00"
ARE,2004,"148,000,000,000.00"
ARE,2005,"181,000,000,000.00"
ARE,2006,"222,000,000,000.00"
ARE,2007,"258,000,000,000.00"
ARE,2008,"315,000,000,000.00"
ARE,2009,"254,000,000,000.00"
ARE,2010,"300,000,000,000.00"
ARE,2011,"361,000,000,000.00"
ARE,2012,"385,000,000,000.00"
ARE,2013,"400,000,000,000.00"
ARE,2014,"414,000,000,000.00"
ARE,2015,"370,000,000,000.00"
ARE,2016,"369,000,000,000.00"
ARE,2017,"391,000,000,000.00"
ARE,2018,"427,000,000,000.00"
ARE,2019,"418,000,000,000.00"
ARE,2020,"349,000,000,000.00"
ARE,2021,"415,000,000,000.00"
ARE,2022,"507,000,000,000.00"
ARG,1983,"109,000,000,000.00"
ARG,1984,"113,000,000,000.00"
ARG,1985,"88,416,666,667.00"
ARG,1986,"106,000,000,000.00"
ARG,1987,"109,000,000,000.00"
ARG,1988,"127,000,000,000.00"
ARG,1989,"76,629,657,864.00"
ARG,1990,"141,000,000,000.00"
ARG,1991,"190,000,000,000.00"
ARG,1992,"229,000,000,000.00"
ARG,1993,"237,000,000,000.00"
ARG,1994,"257,000,000,000.00"
ARG,1995,"258,000,000,000.00"
ARG,1996,"272,000,000,000.00"
ARG,1997,"293,000,000,000.00"
ARG,1998,"299,000,000,000.00"
ARG,1999,"284,000,000,000.00"
ARG,2000,"284,000,000,000.00"
ARG,2001,"269,000,000,000.00"
ARG,2002,"97,724,004,252.00"
ARG,2003,"128,000,000,000.00"
ARG,2004,"165,000,000,000.00"
ARG,2005,"199,000,000,000.00"
ARG,2006,"233,000,000,000.00"
ARG,2007,"288,000,000,000.00"
ARG,2008,"362,000,000,000.00"
ARG,2009,"333,000,000,000.00"
ARG,2010,"424,000,000,000.00"
ARG,2011,"530,000,000,000.00"
ARG,2012,"546,000,000,000.00"
ARG,2013,"552,000,000,000.00"
ARG,2014,"526,000,000,000.00"
ARG,2015,"595,000,000,000.00"
ARG,2016,"558,000,000,000.00"
ARG,2017,"644,000,000,000.00"
ARG,2018,"525,000,000,000.00"
ARG,2019,"448,000,000,000.00"
ARG,2020,"386,000,000,000.00"
ARG,2021,"488,000,000,000.00"
ARG,2022,"631,000,000,000.00"
ARM,1990,"2,256,863,449.00"
ARM,1991,"2,069,870,130.00"
ARM,1992,"1,272,835,453.00"
ARM,1993,"1,201,312,829.00"
ARM,1994,"1,315,158,637.00"
ARM,1995,"1,468,317,435.00"
ARM,1996,"1,596,968,946.00"
ARM,1997,"1,639,492,445.00"
ARM,1998,"1,893,726,437.00"
ARM,1999,"1,845,482,173.00"
ARM,2000,"1,911,563,669.00"
ARM,2001,"2,118,467,913.00"
ARM,2002,"2,376,335,048.00"
ARM,2003,"2,807,061,009.00"
ARM,2004,"3,576,615,240.00"
ARM,2005,"4,900,469,511.00"
ARM,2006,"6,384,452,067.00"
ARM,2007,"9,206,301,270.00"
ARM,2008,"11,662,040,714.00"
ARM,2009,"8,647,937,081.00"
ARM,2010,"9,260,285,756.00"
ARM,2011,"10,142,111,825.00"
ARM,2012,"10,619,320,683.00"
ARM,2013,"11,121,464,437.00"
ARM,2014,"11,609,513,247.00"
ARM,2015,"10,553,337,518.00"
ARM,2016,"10,546,136,236.00"
ARM,2017,"11,527,458,709.00"
ARM,2018,"12,457,940,695.00"
ARM,2019,"13,619,290,539.00"
ARM,2020,"12,641,698,583.00"
ARM,2021,"13,878,908,629.00"
ARM,2022,"19,513,474,648.00"
ASM,2002,"512,000,000.00"
ASM,2003,"524,000,000.00"
ASM,2004,"509,000,000.00"
ASM,2005,"500,000,000.00"
ASM,2006,"493,000,000.00"
ASM,2007,"518,000,000.00"
ASM,2008,"560,000,000.00"
ASM,2009,"675,000,000.00"
ASM,2010,"573,000,000.00"
ASM,2011,"570,000,000.00"
ASM,2012,"640,000,000.00"
ASM,2013,"638,000,000.00"
ASM,2014,"643,000,000.00"
ASM,2015,"673,000,000.00"
ASM,2016,"671,000,000.00"
ASM,2017,"612,000,000.00"
ASM,2018,"639,000,000.00"
ASM,2019,"647,000,000.00"
ASM,2020,"721,000,000.00"
ASM,2021,"750,000,000.00"
ASM,2022,"871,000,000.00"
ATG,1977,"77,496,753.70"
ATG,1978,"87,879,341.48"
ATG,1979,"109,079,978.90"
ATG,1980,"131,431,026.70"
ATG,1981,"147,841,734.40"
ATG,1982,"164,369,278.90"
ATG,1983,"182,144,093.00"
ATG,1984,"208,372,846.30"
ATG,1985,"240,923,924.80"
ATG,1986,"290,440,140.70"
ATG,1987,"337,174,861.90"
ATG,1988,"398,637,727.80"
ATG,1989,"438,794,788.50"
ATG,1990,"459,470,370.40"
ATG,1991,"481,707,407.40"
ATG,1992,"499,281,481.50"
ATG,1993,"535,174,074.10"
ATG,1994,"589,429,629.60"
ATG,1995,"577,281,481.50"
ATG,1996,"633,729,629.60"
ATG,1997,"680,618,518.50"
ATG,1998,"727,859,259.30"
ATG,1999,"766,200,000.00"
ATG,2000,"826,370,370.40"
ATG,2001,"800,481,481.50"
ATG,2002,"814,381,481.50"
ATG,2003,"856,396,296.30"
ATG,2004,"919,729,629.60"
ATG,2005,"1,022,962,963.00"
ATG,2006,"1,157,662,963.00"
ATG,2007,"1,312,759,259.00"
ATG,2008,"1,370,070,370.00"
ATG,2009,"1,228,329,630.00"
ATG,2010,"1,148,700,000.00"
ATG,2011,"1,281,337,037.00"
ATG,2012,"1,327,107,407.00"
ATG,2013,"1,325,425,926.00"
ATG,2014,"1,378,829,630.00"
ATG,2015,"1,437,755,556.00"
ATG,2016,"1,489,692,593.00"
ATG,2017,"1,531,151,852.00"
ATG,2018,"1,661,529,630.00"
ATG,2019,"1,725,351,852.00"
ATG,2020,"1,410,796,296.00"
ATG,2021,"1,601,366,667.00"
ATG,2022,"1,867,733,333.00"
AUS,1960,"18,606,562,977.00"
AUS,1961,"19,682,883,149.00"
AUS,1962,"19,922,563,188.00"
AUS,1963,"21,539,843,446.00"
AUS,1964,"23,801,123,808.00"
AUS,1965,"25,976,164,156.00"
AUS,1966,"27,307,844,369.00"
AUS,1967,"30,442,724,871.00"
AUS,1968,"32,714,085,234.00"
AUS,1969,"36,683,365,869.00"
AUS,1970,"41,333,606,613.00"
AUS,1971,"45,216,647,235.00"
AUS,1972,"52,040,887,850.00"
AUS,1973,"63,830,877,643.00"
AUS,1974,"88,963,890,936.00"
AUS,1975,"97,303,017,889.00"
AUS,1976,"105,000,000,000.00"
AUS,1977,"110,000,000,000.00"
AUS,1978,"118,000,000,000.00"
AUS,1979,"135,000,000,000.00"
AUS,1980,"150,000,000,000.00"
AUS,1981,"177,000,000,000.00"
AUS,1982,"194,000,000,000.00"
AUS,1983,"177,000,000,000.00"
AUS,1984,"194,000,000,000.00"
AUS,1985,"181,000,000,000.00"
AUS,1986,"182,000,000,000.00"
AUS,1987,"189,000,000,000.00"
AUS,1988,"236,000,000,000.00"
AUS,1989,"300,000,000,000.00"
AUS,1990,"311,000,000,000.00"
AUS,1991,"326,000,000,000.00"
AUS,1992,"326,000,000,000.00"
AUS,1993,"312,000,000,000.00"
AUS,1994,"323,000,000,000.00"
AUS,1995,"368,000,000,000.00"
AUS,1996,"401,000,000,000.00"
AUS,1997,"436,000,000,000.00"
AUS,1998,"400,000,000,000.00"
AUS,1999,"390,000,000,000.00"
AUS,2000,"416,000,000,000.00"
AUS,2001,"380,000,000,000.00"
AUS,2002,"396,000,000,000.00"
AUS,2003,"468,000,000,000.00"
AUS,2004,"615,000,000,000.00"
AUS,2005,"696,000,000,000.00"
AUS,2006,"748,000,000,000.00"
AUS,2007,"855,000,000,000.00"
AUS,2008,"1,060,000,000,000.00"
AUS,2009,"929,000,000,000.00"
AUS,2010,"1,150,000,000,000.00"
AUS,2011,"1,400,000,000,000.00"
AUS,2012,"1,550,000,000,000.00"
AUS,2013,"1,580,000,000,000.00"
AUS,2014,"1,470,000,000,000.00"
AUS,2015,"1,350,000,000,000.00"
AUS,2016,"1,210,000,000,000.00"
AUS,2017,"1,330,000,000,000.00"
AUS,2018,"1,430,000,000,000.00"
AUS,2019,"1,390,000,000,000.00"
AUS,2020,"1,330,000,000,000.00"
AUS,2021,"1,560,000,000,000.00"
AUS,2022,"1,690,000,000,000.00"
AUT,1960,"6,592,693,841.00"
AUT,1961,"7,311,749,633.00"
AUT,1962,"7,756,110,210.00"
AUT,1963,"8,374,175,258.00"
AUT,1964,"9,169,983,886.00"
AUT,1965,"9,994,070,616.00"
AUT,1966,"10,887,682,273.00"
AUT,1967,"11,579,431,669.00"
AUT,1968,"12,440,625,313.00"
AUT,1969,"13,582,798,556.00"
AUT,1970,"15,373,005,557.00"
AUT,1971,"17,858,486,067.00"
AUT,1972,"22,059,612,477.00"
AUT,1973,"29,515,467,707.00"
AUT,1974,"35,189,299,912.00"
AUT,1975,"40,059,206,763.00"
AUT,1976,"42,959,976,222.00"
AUT,1977,"51,545,758,888.00"
AUT,1978,"62,052,259,073.00"
AUT,1979,"73,937,296,963.00"
AUT,1980,"82,058,912,997.00"
AUT,1981,"71,034,228,443.00"
AUT,1982,"71,275,287,570.00"
AUT,1983,"72,121,016,547.00"
AUT,1984,"67,985,344,887.00"
AUT,1985,"69,386,774,408.00"
AUT,1986,"99,036,164,939.00"
AUT,1987,"124,000,000,000.00"
AUT,1988,"133,000,000,000.00"
AUT,1989,"133,000,000,000.00"
AUT,1990,"166,000,000,000.00"
AUT,1991,"174,000,000,000.00"
AUT,1992,"195,000,000,000.00"
AUT,1993,"190,000,000,000.00"
AUT,1994,"204,000,000,000.00"
AUT,1995,"241,000,000,000.00"
AUT,1996,"237,000,000,000.00"
AUT,1997,"213,000,000,000.00"
AUT,1998,"218,000,000,000.00"
AUT,1999,"217,000,000,000.00"
AUT,2000,"197,000,000,000.00"
AUT,2001,"198,000,000,000.00"
AUT,2002,"214,000,000,000.00"
AUT,2003,"262,000,000,000.00"
AUT,2004,"301,000,000,000.00"
AUT,2005,"316,000,000,000.00"
AUT,2006,"336,000,000,000.00"
AUT,2007,"389,000,000,000.00"
AUT,2008,"432,000,000,000.00"
AUT,2009,"402,000,000,000.00"
AUT,2010,"392,000,000,000.00"
AUT,2011,"432,000,000,000.00"
AUT,2012,"409,000,000,000.00"
AUT,2013,"430,000,000,000.00"
AUT,2014,"443,000,000,000.00"
AUT,2015,"382,000,000,000.00"
AUT,2016,"396,000,000,000.00"
AUT,2017,"417,000,000,000.00"
AUT,2018,"455,000,000,000.00"
AUT,2019,"445,000,000,000.00"
AUT,2020,"435,000,000,000.00"
AUT,2021,"479,000,000,000.00"
AUT,2022,"471,000,000,000.00"
AZE,1990,"8,884,848,485.00"
AZE,1991,"5,344,000,000.00"
AZE,1992,"444,658,671.60"
AZE,1993,"1,570,392,598.00"
AZE,1994,"1,193,141,110.00"
AZE,1995,"2,417,331,193.00"
AZE,1996,"3,176,507,376.00"
AZE,1997,"3,962,362,387.00"
AZE,1998,"4,446,368,571.00"
AZE,1999,"4,581,248,567.00"
AZE,2000,"5,272,615,723.00"
AZE,2001,"5,707,616,204.00"
AZE,2002,"6,236,087,738.00"
AZE,2003,"7,276,413,079.00"
AZE,2004,"8,680,405,741.00"
AZE,2005,"13,245,421,881.00"
AZE,2006,"20,981,929,498.00"
AZE,2007,"33,049,419,431.00"
AZE,2008,"48,851,293,785.00"
AZE,2009,"44,292,427,185.00"
AZE,2010,"52,909,294,792.00"
AZE,2011,"65,952,796,428.00"
AZE,2012,"69,679,944,504.00"
AZE,2013,"74,160,560,124.00"
AZE,2014,"75,239,785,452.00"
AZE,2015,"53,076,235,355.00"
AZE,2016,"37,866,996,883.00"
AZE,2017,"40,866,627,352.00"
AZE,2018,"47,112,470,052.00"
AZE,2019,"48,174,235,294.00"
AZE,2020,"42,693,000,000.00"
AZE,2021,"54,825,411,765.00"
AZE,2022,"78,721,058,824.00"
BDI,1960,"195,999,990.00"
BDI,1961,"202,999,992.00"
BDI,1962,"213,500,006.00"
BDI,1963,"232,749,998.00"
BDI,1964,"260,750,008.00"
BDI,1965,"158,994,963.00"
BDI,1966,"165,444,571.40"
BDI,1967,"178,297,142.90"
BDI,1968,"183,200,000.00"
BDI,1969,"190,205,714.30"
BDI,1970,"242,732,571.40"
BDI,1971,"252,842,285.70"
BDI,1972,"246,804,571.40"
BDI,1973,"304,339,839.60"
BDI,1974,"345,263,492.10"
BDI,1975,"420,986,666.70"
BDI,1976,"448,412,753.60"
BDI,1977,"547,535,555.60"
BDI,1978,"610,225,555.60"
BDI,1979,"782,496,666.70"
BDI,1980,"919,726,666.70"
BDI,1981,"969,046,666.70"
BDI,1982,"1,013,222,222.00"
BDI,1983,"1,082,926,304.00"
BDI,1984,"987,143,931.20"
BDI,1985,"1,149,979,286.00"
BDI,1986,"1,201,725,497.00"
BDI,1987,"1,131,466,494.00"
BDI,1988,"1,082,403,219.00"
BDI,1989,"1,113,924,130.00"
BDI,1990,"1,132,101,253.00"
BDI,1991,"1,167,398,478.00"
BDI,1992,"1,083,037,671.00"
BDI,1993,"938,632,612.00"
BDI,1994,"925,030,590.20"
BDI,1995,"1,000,428,394.00"
BDI,1996,"869,033,856.30"
BDI,1997,"972,896,267.90"
BDI,1998,"893,770,740.20"
BDI,1999,"808,077,223.40"
BDI,2000,"870,486,065.90"
BDI,2001,"876,794,723.10"
BDI,2002,"825,394,519.40"
BDI,2003,"784,654,423.60"
BDI,2004,"915,257,323.40"
BDI,2005,"1,117,113,080.00"
BDI,2006,"1,273,375,078.00"
BDI,2007,"1,356,199,387.00"
BDI,2008,"1,611,835,857.00"
BDI,2009,"1,781,455,140.00"
BDI,2010,"2,032,135,192.00"
BDI,2011,"2,235,820,809.00"
BDI,2012,"2,333,341,334.00"
BDI,2013,"2,451,606,632.00"
BDI,2014,"2,705,783,330.00"
BDI,2015,"3,104,003,546.00"
BDI,2016,"2,644,487,777.00"
BDI,2017,"2,723,586,963.00"
BDI,2018,"2,667,182,200.00"
BDI,2019,"2,576,518,880.00"
BDI,2020,"2,649,680,261.00"
BDI,2021,"2,775,798,697.00"
BDI,2022,"3,338,722,828.00"
BEL,1960,"11,658,722,591.00"
BEL,1961,"12,400,145,222.00"
BEL,1962,"13,264,015,675.00"
BEL,1963,"14,260,017,387.00"
BEL,1964,"15,960,106,681.00"
BEL,1965,"17,371,457,608.00"
BEL,1966,"18,651,883,472.00"
BEL,1967,"19,992,040,788.00"
BEL,1968,"21,376,353,113.00"
BEL,1969,"23,710,735,895.00"
BEL,1970,"26,706,196,047.00"
BEL,1971,"29,821,661,870.00"
BEL,1972,"37,209,418,019.00"
BEL,1973,"47,743,801,490.00"
BEL,1974,"56,033,077,879.00"
BEL,1975,"65,678,189,097.00"
BEL,1976,"71,113,882,968.00"
BEL,1977,"82,839,905,459.00"
BEL,1978,"101,000,000,000.00"
BEL,1979,"116,000,000,000.00"
BEL,1980,"127,000,000,000.00"
BEL,1981,"105,000,000,000.00"
BEL,1982,"92,095,926,188.00"
BEL,1983,"87,184,239,053.00"
BEL,1984,"83,349,530,159.00"
BEL,1985,"86,268,264,148.00"
BEL,1986,"120,000,000,000.00"
BEL,1987,"149,000,000,000.00"
BEL,1988,"162,000,000,000.00"
BEL,1989,"164,000,000,000.00"
BEL,1990,"205,000,000,000.00"
BEL,1991,"211,000,000,000.00"
BEL,1992,"235,000,000,000.00"
BEL,1993,"225,000,000,000.00"
BEL,1994,"245,000,000,000.00"
BEL,1995,"288,000,000,000.00"
BEL,1996,"279,000,000,000.00"
BEL,1997,"253,000,000,000.00"
BEL,1998,"259,000,000,000.00"
BEL,1999,"258,000,000,000.00"
BEL,2000,"237,000,000,000.00"
BEL,2001,"237,000,000,000.00"
BEL,2002,"258,000,000,000.00"
BEL,2003,"318,000,000,000.00"
BEL,2004,"369,000,000,000.00"
BEL,2005,"386,000,000,000.00"
BEL,2006,"408,000,000,000.00"
BEL,2007,"471,000,000,000.00"
BEL,2008,"517,000,000,000.00"
BEL,2009,"483,000,000,000.00"
BEL,2010,"481,000,000,000.00"
BEL,2011,"523,000,000,000.00"
BEL,2012,"496,000,000,000.00"
BEL,2013,"522,000,000,000.00"
BEL,2014,"535,000,000,000.00"
BEL,2015,"462,000,000,000.00"
BEL,2016,"476,000,000,000.00"
BEL,2017,"503,000,000,000.00"
BEL,2018,"543,000,000,000.00"
BEL,2019,"536,000,000,000.00"
BEL,2020,"526,000,000,000.00"
BEL,2021,"601,000,000,000.00"
BEL,2022,"583,000,000,000.00"
BEN,1960,"226,195,578.40"
BEN,1961,"235,668,220.50"
BEN,1962,"236,434,954.00"
BEN,1963,"253,927,697.30"
BEN,1964,"269,819,005.90"
BEN,1965,"289,908,680.40"
BEN,1966,"302,925,235.20"
BEN,1967,"306,221,953.10"
BEN,1968,"326,323,105.30"
BEN,1969,"330,748,244.50"
BEN,1970,"333,627,713.50"
BEN,1971,"335,073,027.50"
BEN,1972,"410,331,857.00"
BEN,1973,"504,376,074.20"
BEN,1974,"554,654,860.70"
BEN,1975,"676,870,140.30"
BEN,1976,"698,408,261.90"
BEN,1977,"750,049,778.80"
BEN,1978,"928,843,469.40"
BEN,1979,"1,186,231,020.00"
BEN,1980,"1,405,251,847.00"
BEN,1981,"1,291,120,188.00"
BEN,1982,"1,267,778,670.00"
BEN,1983,"1,095,348,199.00"
BEN,1984,"1,051,134,009.00"
BEN,1985,"1,045,712,789.00"
BEN,1986,"1,336,102,025.00"
BEN,1987,"1,562,412,228.00"
BEN,1988,"1,620,246,084.00"
BEN,1989,"1,502,294,416.00"
BEN,1990,"1,959,965,330.00"
BEN,1991,"1,986,437,797.00"
BEN,1992,"1,695,315,306.00"
BEN,1993,"2,274,558,083.00"
BEN,1994,"1,598,075,944.00"
BEN,1995,"2,169,627,138.00"
BEN,1996,"2,361,116,449.00"
BEN,1997,"2,268,301,646.00"
BEN,1998,"2,455,092,686.00"
BEN,1999,"3,677,393,999.00"
BEN,2000,"3,519,991,440.00"
BEN,2001,"3,666,222,635.00"
BEN,2002,"4,194,342,686.00"
BEN,2003,"5,349,258,094.00"
BEN,2004,"6,190,270,380.00"
BEN,2005,"6,567,654,954.00"
BEN,2006,"7,034,111,315.00"
BEN,2007,"8,169,048,383.00"
BEN,2008,"9,787,734,526.00"
BEN,2009,"9,738,626,517.00"
BEN,2010,"9,535,345,016.00"
BEN,2011,"10,693,321,364.00"
BEN,2012,"11,141,358,116.00"
BEN,2013,"12,517,845,124.00"
BEN,2014,"13,284,527,847.00"
BEN,2015,"11,388,160,997.00"
BEN,2016,"11,821,065,852.00"
BEN,2017,"12,701,655,846.00"
BEN,2018,"14,262,408,080.00"
BEN,2019,"14,390,708,757.00"
BEN,2020,"15,686,741,894.00"
BEN,2021,"17,687,623,535.00"
BEN,2022,"17,396,792,700.00"
BFA,1960,"330,442,815.80"
BFA,1961,"350,247,234.30"
BFA,1962,"379,567,099.20"
BFA,1963,"394,040,667.10"
BFA,1964,"410,321,645.00"
BFA,1965,"422,916,789.70"
BFA,1966,"433,889,766.20"
BFA,1967,"450,753,923.50"
BFA,1968,"460,442,689.40"
BFA,1969,"478,298,645.40"
BFA,1970,"458,404,268.80"
BFA,1971,"482,411,179.10"
BFA,1972,"578,595,522.00"
BFA,1973,"674,773,569.90"
BFA,1974,"751,133,430.40"
BFA,1975,"939,972,703.50"
BFA,1976,"976,547,188.10"
BFA,1977,"1,131,224,878.00"
BFA,1978,"1,475,583,645.00"
BFA,1979,"1,748,480,621.00"
BFA,1980,"1,928,719,888.00"
BFA,1981,"1,775,842,334.00"
BFA,1982,"1,754,450,096.00"
BFA,1983,"1,600,278,605.00"
BFA,1984,"1,459,880,132.00"
BFA,1985,"1,552,493,196.00"
BFA,1986,"2,036,303,358.00"
BFA,1987,"2,369,834,950.00"
BFA,1988,"2,616,040,479.00"
BFA,1989,"2,615,587,734.00"
BFA,1990,"3,101,300,779.00"
BFA,1991,"3,135,045,584.00"
BFA,1992,"3,356,692,505.00"
BFA,1993,"3,199,536,465.00"
BFA,1994,"1,895,290,637.00"
BFA,1995,"2,379,517,975.00"
BFA,1996,"2,586,550,595.00"
BFA,1997,"2,447,669,102.00"
BFA,1998,"2,804,902,367.00"
BFA,1999,"3,389,566,713.00"
BFA,2000,"2,968,370,088.00"
BFA,2001,"3,190,371,081.00"
BFA,2002,"3,622,350,063.00"
BFA,2003,"4,740,768,143.00"
BFA,2004,"5,451,688,538.00"
BFA,2005,"6,146,353,173.00"
BFA,2006,"6,547,419,820.00"
BFA,2007,"7,625,722,837.00"
BFA,2008,"9,451,435,490.00"
BFA,2009,"9,450,696,873.00"
BFA,2010,"10,109,619,741.00"
